                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1314,                  1.407,                 1.1789,                0.56426,                0.42238,                0.44677,                0.30671,                 1.2135,                 1.4019,                 1.2126,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.2382,                 1.6678,                 1.2493,                 0.5506,                0.40036,                0.42348,                0.28816,                 1.2384,                 1.4631,                 1.2448,              0.0064462,              0.0064462,              0.0064462
                      3,                 1.3239,                 1.8901,                 1.3114,                0.54287,                0.38348,                0.40114,                 0.2705,                 1.2527,                 1.5128,                  1.265,              0.0093396,              0.0093396,              0.0093396
                      4,                 1.3361,                 1.9295,                 1.3258,                 0.5402,                0.39483,                0.41423,                0.28072,                 1.2388,                 1.4785,                 1.2591,                0.00901,                0.00901,                0.00901
                      5,                 1.2985,                 1.8265,                 1.3022,                0.56487,                0.40394,                0.42973,                0.29477,                 1.2156,                 1.4366,                 1.2423,                0.00868,                0.00868,                0.00868
                      6,                 1.2765,                 1.7681,                 1.2845,                0.57725,                0.40413,                0.43831,                0.30192,                 1.2044,                 1.4097,                 1.2329,                0.00835,                0.00835,                0.00835
                      7,                 1.2604,                 1.7268,                 1.2745,                 0.5796,                0.40872,                 0.4443,                0.30668,                 1.1972,                 1.3948,                 1.2265,                0.00802,                0.00802,                0.00802
                      8,                 1.2488,                 1.6973,                  1.266,                0.57613,                0.41316,                0.44853,                0.31087,                 1.1922,                 1.3851,                 1.2229,                0.00769,                0.00769,                0.00769
                      9,                 1.2403,                 1.6759,                 1.2603,                0.56676,                0.42124,                0.45099,                0.31293,                 1.1876,                 1.3753,                 1.2199,                0.00736,                0.00736,                0.00736
                     10,                 1.2305,                 1.6534,                  1.254,                0.57291,                0.42239,                0.45382,                0.31533,                 1.1849,                  1.368,                 1.2175,                0.00703,                0.00703,                0.00703
                     11,                 1.2261,                 1.6391,                 1.2499,                0.57697,                 0.4244,                0.45686,                0.31762,                 1.1817,                 1.3595,                 1.2147,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.2201,                 1.6224,                 1.2459,                0.56582,                0.43405,                0.45987,                0.31998,                 1.1787,                 1.3511,                 1.2124,                0.00637,                0.00637,                0.00637
                     13,                 1.2131,                 1.6068,                 1.2419,                0.57025,                0.43694,                0.46253,                0.32224,                 1.1759,                  1.343,                 1.2096,                0.00604,                0.00604,                0.00604
                     14,                 1.2064,                 1.5936,                 1.2383,                 0.5762,                0.43594,                 0.4652,                0.32405,                 1.1729,                 1.3357,                 1.2069,                0.00571,                0.00571,                0.00571
                     15,                 1.2026,                 1.5824,                 1.2344,                0.57497,                0.43889,                0.46792,                0.32632,                 1.1707,                 1.3286,                 1.2046,                0.00538,                0.00538,                0.00538
                     16,                 1.1968,                 1.5655,                 1.2303,                0.56908,                0.44299,                0.47022,                0.32808,                 1.1681,                 1.3215,                 1.2021,                0.00505,                0.00505,                0.00505
                     17,                 1.1924,                  1.553,                 1.2259,                0.57477,                0.44586,                0.47248,                0.32985,                 1.1656,                 1.3159,                 1.1996,                0.00472,                0.00472,                0.00472
                     18,                 1.1852,                 1.5394,                 1.2217,                0.58247,                0.44582,                0.47509,                 0.3321,                 1.1638,                 1.3099,                 1.1976,                0.00439,                0.00439,                0.00439
                     19,                 1.1798,                 1.5302,                 1.2181,                0.59294,                0.44349,                 0.4772,                0.33445,                 1.1614,                 1.3045,                 1.1951,                0.00406,                0.00406,                0.00406
                     20,                  1.172,                 1.5084,                 1.2128,                0.59741,                0.44396,                0.47928,                0.33623,                 1.1591,                 1.2999,                 1.1927,                0.00373,                0.00373,                0.00373
                     21,                 1.2208,                 1.4722,                 1.2512,                0.60135,                0.44545,                0.48141,                0.33787,                 1.1557,                 1.2943,                   1.19,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2113,                 1.4436,                 1.2436,                0.60531,                0.44436,                0.48367,                0.33973,                 1.1536,                   1.29,                 1.1884,                0.00307,                0.00307,                0.00307
                     23,                 1.2018,                 1.4244,                 1.2382,                0.60767,                0.44573,                0.48561,                0.34162,                  1.152,                 1.2861,                 1.1866,                0.00274,                0.00274,                0.00274
                     24,                 1.1916,                 1.4025,                 1.2317,                0.61171,                0.44446,                0.48703,                0.34316,                 1.1498,                 1.2832,                 1.1847,                0.00241,                0.00241,                0.00241
                     25,                 1.1828,                  1.381,                 1.2246,                0.61378,                0.44574,                0.48872,                0.34497,                 1.1478,                 1.2804,                 1.1828,                0.00208,                0.00208,                0.00208
                     26,                 1.1741,                 1.3552,                 1.2182,                0.62228,                0.44451,                0.49067,                0.34646,                 1.1464,                 1.2781,                 1.1813,                0.00175,                0.00175,                0.00175
                     27,                 1.1626,                 1.3329,                   1.21,                0.62555,                0.44495,                0.49233,                0.34806,                 1.1448,                 1.2751,                 1.1797,                0.00142,                0.00142,                0.00142
                     28,                  1.153,                 1.3078,                 1.2031,                0.62144,                0.44745,                0.49374,                0.34955,                 1.1432,                 1.2722,                 1.1779,                0.00109,                0.00109,                0.00109
                     29,                 1.1403,                 1.2839,                 1.1958,                0.62213,                0.44628,                0.49547,                0.35096,                 1.1417,                 1.2697,                 1.1764,                0.00076,                0.00076,                0.00076
                     30,                 1.1303,                 1.2598,                 1.1886,                0.61882,                0.44916,                0.49679,                 0.3522,                 1.1403,                 1.2664,                 1.1746,                0.00043,                0.00043,                0.00043
